none[0.3200]  arg1_node[0.6791]  arg2_node[0.0009]  arg1_node
none[0.9991]  arg1_node[0.0001]  arg2_node[0.0008]  none
none[0.0770]  arg1_node[0.0003]  arg2_node[0.9227]  arg2_node
none[0.9717]  arg1_node[0.0000]  arg2_node[0.0282]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9717]  arg1_node[0.0000]  arg2_node[0.0282]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9912]  arg1_node[0.0065]  arg2_node[0.0024]  none
none[0.9974]  arg1_node[0.0004]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9978]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9751]  arg1_node[0.0235]  arg2_node[0.0014]  none
none[0.2969]  arg1_node[0.6983]  arg2_node[0.0048]  arg1_node
none[0.5642]  arg1_node[0.3981]  arg2_node[0.0377]  none
none[0.7331]  arg1_node[0.1387]  arg2_node[0.1282]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9871]  arg1_node[0.0075]  arg2_node[0.0053]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.5680]  arg1_node[0.0047]  arg2_node[0.4273]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9769]  arg1_node[0.0003]  arg2_node[0.0228]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9888]  arg1_node[0.0000]  arg2_node[0.0112]  none
none[0.9888]  arg1_node[0.0000]  arg2_node[0.0112]  none
none[0.9889]  arg1_node[0.0000]  arg2_node[0.0111]  none
none[0.9888]  arg1_node[0.0000]  arg2_node[0.0111]  none
none[0.9888]  arg1_node[0.0000]  arg2_node[0.0112]  none
none[0.9887]  arg1_node[0.0000]  arg2_node[0.0113]  none
none[0.9844]  arg1_node[0.0001]  arg2_node[0.0156]  none
none[0.9844]  arg1_node[0.0001]  arg2_node[0.0156]  none
none[0.9844]  arg1_node[0.0001]  arg2_node[0.0156]  none
none[0.9844]  arg1_node[0.0001]  arg2_node[0.0156]  none
