none[0.7390]  arg1_node[0.2598]  arg2_node[0.0012]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9772]  arg1_node[0.0223]  arg2_node[0.0005]  none
none[0.4577]  arg1_node[0.5402]  arg2_node[0.0021]  arg1_node
none[0.8663]  arg1_node[0.1326]  arg2_node[0.0010]  none
none[0.9091]  arg1_node[0.0887]  arg2_node[0.0022]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9698]  arg1_node[0.0260]  arg2_node[0.0042]  none
none[0.9969]  arg1_node[0.0021]  arg2_node[0.0011]  none
none[0.9953]  arg1_node[0.0036]  arg2_node[0.0011]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9982]  arg1_node[0.0001]  arg2_node[0.0016]  none
none[0.0396]  arg1_node[0.0002]  arg2_node[0.9602]  arg2_node
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9422]  arg1_node[0.0000]  arg2_node[0.0578]  none
none[0.9875]  arg1_node[0.0000]  arg2_node[0.0125]  none
none[0.9874]  arg1_node[0.0000]  arg2_node[0.0126]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9956]  arg1_node[0.0000]  arg2_node[0.0044]  none
none[0.9942]  arg1_node[0.0001]  arg2_node[0.0057]  none
none[0.9942]  arg1_node[0.0001]  arg2_node[0.0057]  none
none[0.9942]  arg1_node[0.0001]  arg2_node[0.0057]  none
none[0.9942]  arg1_node[0.0001]  arg2_node[0.0057]  none
none[0.9942]  arg1_node[0.0001]  arg2_node[0.0057]  none
none[0.9942]  arg1_node[0.0001]  arg2_node[0.0057]  none
