none[0.8074]  arg1_node[0.1360]  arg2_node[0.0567]  none
none[0.9987]  arg1_node[0.0007]  arg2_node[0.0007]  none
none[0.9953]  arg1_node[0.0040]  arg2_node[0.0006]  none
none[0.6300]  arg1_node[0.3683]  arg2_node[0.0017]  none
none[0.9983]  arg1_node[0.0008]  arg2_node[0.0008]  none
none[0.0763]  arg1_node[0.9114]  arg2_node[0.0123]  arg1_node
none[0.7259]  arg1_node[0.0080]  arg2_node[0.2661]  none
none[0.9987]  arg1_node[0.0007]  arg2_node[0.0007]  none
none[0.9960]  arg1_node[0.0003]  arg2_node[0.0037]  none
none[0.9987]  arg1_node[0.0007]  arg2_node[0.0007]  none
none[0.3879]  arg1_node[0.0002]  arg2_node[0.6119]  arg2_node
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9844]  arg1_node[0.0000]  arg2_node[0.0156]  none
none[0.9971]  arg1_node[0.0000]  arg2_node[0.0029]  none
